monetary_code	rate_as_float	date_as_iso
USD	50360.0071	2021-09-05T14:38:00+00:00
GBP	36321.7019	2021-09-05T14:38:00+00:00
EUR	42378.097	2021-09-05T14:38:00+00:00
USD	50390.4638	2021-09-05T14:43:00+00:00
GBP	36343.6685	2021-09-05T14:43:00+00:00
EUR	42403.7264	2021-09-05T14:43:00+00:00
USD	50358.7886	2021-09-05T14:48:00+00:00
GBP	36320.8231	2021-09-05T14:48:00+00:00
EUR	42377.0717	2021-09-05T14:48:00+00:00
USD	50298.0283	2021-09-05T14:53:00+00:00
GBP	36277.0003	2021-09-05T14:53:00+00:00
EUR	42325.9417	2021-09-05T14:53:00+00:00
USD	50236.4654	2021-09-05T14:58:00+00:00
GBP	36232.5986	2021-09-05T14:58:00+00:00
EUR	42274.1364	2021-09-05T14:58:00+00:00
USD	50320.122	2021-09-05T15:03:00+00:00
GBP	36292.9351	2021-09-05T15:03:00+00:00
EUR	42344.5336	2021-09-05T15:03:00+00:00
USD	50282.0747	2021-09-05T15:08:00+00:00
GBP	36265.4939	2021-09-05T15:08:00+00:00
EUR	42312.5167	2021-09-05T15:08:00+00:00
USD	50263.9184	2021-09-05T15:13:00+00:00
GBP	36252.3988	2021-09-05T15:13:00+00:00
EUR	42297.2381	2021-09-05T15:13:00+00:00
USD	50311.6822	2021-09-05T15:18:00+00:00
GBP	36286.848	2021-09-05T15:18:00+00:00
EUR	42337.4315	2021-09-05T15:18:00+00:00
USD	50242.359	2021-09-05T15:23:00+00:00
GBP	36236.8492	2021-09-05T15:23:00+00:00
EUR	42279.0958	2021-09-05T15:23:00+00:00
USD	50252.8789	2021-09-05T15:28:00+00:00
GBP	36244.4366	2021-09-05T15:28:00+00:00
EUR	42287.9483	2021-09-05T15:28:00+00:00
USD	50230.3298	2021-09-05T15:33:00+00:00
GBP	36228.1733	2021-09-05T15:33:00+00:00
EUR	42268.9732	2021-09-05T15:33:00+00:00
USD	50191.0561	2021-09-05T15:38:00+00:00
GBP	36199.8475	2021-09-05T15:38:00+00:00
EUR	42235.9243	2021-09-05T15:38:00+00:00
USD	50283.2969	2021-09-05T15:43:00+00:00
GBP	36266.3753	2021-09-05T15:43:00+00:00
EUR	42313.5452	2021-09-05T15:43:00+00:00
USD	50308.1286	2021-09-05T15:48:00+00:00
GBP	36284.285	2021-09-05T15:48:00+00:00
EUR	42334.4412	2021-09-05T15:48:00+00:00
USD	50211.425	2021-09-05T15:53:00+00:00
